Country,ISO,year,Continent,Population (thousands),Life Expectancy (years),Ladder of life (Wellbeing) (0-10),Ecological Footprint (g ha),HPI,"Biocapacity for year 
(g ha)",GDP per capita ($)
Niger,NER,2019,5,23310.719,62.4,5.003544331,1.51281053,41.35091295,1.56,1224.510472
Montenegro,MNE,2019,7,627.988,76.9,5.386024952,4.222767782,41.33038029,1.56,21602.69568
Turkey,TUR,2019,4,83429.607,77.7,4.87207365,3.610031436,41.28234798,1.56,28289.0888
Ukraine,UKR,2019,7,43993.643,72.1,4.701762199,2.643290808,40.90280442,1.56,12810.28945
Congo (Kinshasa),COD,2019,5,86790.568,60.7,4.416484356,0.73384215,40.52924206,1.56,1097.948853
Canada,CAN,2019,2,37411.038,82.4,7.1090765,8.145413732,40.18359249,1.56,48881.39675
Bulgaria,BGR,2019,7,7000.117,75,5.108438015,3.832988495,40.13077545,1.56,23265.62327
Myanmar,MMR,2019,8,54045.422,67.1,4.43423748,1.751745181,40.04479079,1.56,5142.154166
Cameroon,CMR,2019,5,25876.387,59.3,4.936737537,1.244285448,39.90883236,1.56,3642.277258
Gabon,GAB,2019,5,2172.578,66.5,4.914393425,2.323540263,39.86493361,1.56,14950.0702
South Korea,KOR,2019,8,51225.321,83,5.902816772,6.446572539,39.81907149,1.56,42878.8173
Cote d'Ivoire,CIV,2019,5,25716.554,57.8,5.392012119,1.579017311,39.64587173,1.56,5212.556048
Sudan,SDN,2019,5,42813.237,65.3,4.241629481,1.337276684,39.60313347,1.56,3958.46839
Ghana,GHA,2019,5,30417.858,64.1,4.96680975,2.095714691,39.52473405,1.56,5412.628122
Mali,MLI,2019,5,19658.023,59.3,4.98799181,1.414121906,39.34192686,1.56,2321.594445
Rwanda,RWA,2019,5,12626.938,69,3.268152237,0.606204969,39.23448403,1.56,2226.863571
Lebanon,LBN,2019,4,6855.709,78.9,4.024219513,3.051294827,38.99983124,1.56,14551.58522
Malawi,MWI,2019,5,18628.749,64.3,3.869123697,0.8931181,38.70654232,1.56,1059.72349
Kazakhstan,KAZ,2019,7,18551.428,73.6,6.272268295,5.718624171,38.64493232,1.56,26351.80444
Haiti,HTI,2019,1,11263.079,64,3.614928007,0.618312421,38.19941901,1.56,2905.439081
Guinea,GIN,2019,5,12771.246,61.6,4.76768446,1.770611073,38.06100367,1.56,2562.082921
Burundi,BDI,2019,5,11530.577,61.6,3.775283098,0.592674199,37.69524004,1.56,751.6639572
United States of America,USA,2019,2,329064.917,78.9,6.943701267,8.21127422,37.44571593,1.56,62530.38959
Togo,TGO,2019,5,8082.359,61,4.179493904,1.093472558,37.31041453,1.56,1596.644938
Tanzania,TZA,2019,5,58005.461,65.5,3.640154839,1.093729383,36.95833825,1.56,2660.420338
Lithuania,LTU,2019,7,2759.631,75.9,6.064097881,6.418018228,36.85726815,1.56,37181.00294
Namibia,NAM,2019,5,2494.524,63.7,4.435811043,1.94275258,36.80911639,1.56,9637.180351
Bhutan,BTN,2019,6,763.094,71.8,5.196599483,4.387431921,36.67282917,1.56,11832.18926
India,IND,2019,6,1366417.756,69.7,3.24876976,1.219981627,36.37213182,1.56,6700.062225
South Africa,ZAF,2019,5,58558.267,64.1,5.034863472,2.966766551,36.20526477,1.56,12481.81351
Eswatini,SWZ,2019,5,1148.133,60.2,4.396114826,1.670769722,35.34532956,1.56,8621.826595
Russia,RUS,2019,7,145872.26,72.6,5.440523624,5.463714556,34.92504653,1.56,27043.93539
Mauritania,MRT,2019,5,4525.698,64.9,4.152619362,2.244926551,34.66241836,1.56,5197.074547
Estonia,EST,2019,7,1325.649,78.8,6.034641266,7.849581202,34.44290255,1.56,36947.70613
Zambia,ZMB,2019,5,17861.034,63.9,3.306796551,0.931228935,34.41091087,1.56,3470.448801
United Arab Emirates,ARE,2019,4,9770.526,78,6.710782528,8.935042966,34.30856703,1.56,67119.13264
Latvia,LVA,2019,7,1906.74,75.3,5.969753742,7.151485607,34.14497266,1.56,30965.45186
Nigeria,NGA,2019,5,200963.603,54.7,4.356419086,0.992864564,34.13821364,1.56,5135.499571
Hong Kong,HKG,2019,8,7436.157,84.9,5.659317017,8.601888167,33.8906582,1.56,59847.55428
Bahrain,BHR,2019,4,1641.164,77.3,7.098012447,9.796565318,33.5929738,1.56,45010.7115
Kuwait,KWT,2019,4,4207.077,75.5,6.106119633,7.765422422,33.32497187,1.56,49853.57645
Turkmenistan,TKM,2019,7,5942.094,68.2,5.474299908,5.360309534,32.95738249,1.56,..
Botswana,BWA,2019,5,2303.703,69.6,3.471084833,2.661163058,31.85112214,1.56,17766.53897
